ticker,date,adj_close,close,high,low,open,volume,prev_close_1,prev_close_2,prev_close_3,close_t_plus_1,close_t_plus_3,close_t_plus_7,daily_return,ma_5,sentiment
TSLA,26/10/2020,140.093338,140.093338,141.9199982,136.6666718,137.2100067,84717600,140.2100067,141.9299927,140.8800049,141.5599976,136.9433289,140.3266602,-8.32E-04,140.752002,
AAPL,04/08/2020,107.3826218,109.6650009,110.7900009,108.3874969,109.1324997,173071600,108.9375,106.2600021,96.19000244,110.0625,111.1125031,115.0100021,0.00667815,103.2185013,0.215728571
AAPL,16/11/2020,118.2122421,120.3000031,120.9899979,118.1500015,118.9199982,91183000,119.2600021,119.2099991,119.4899979,119.3899994,118.6399994,116.0299988,0.00872045,118.8460007,0
AAPL,30/11/2020,116.9839706,119.0500031,120.9700012,116.8099976,116.9700012,169410200,116.5899963,116.0299988,115.1699982,122.7200012,122.9400024,121.7799988,0.021099638,116.137999,0.2378125
AMZN,14/04/2020,114.1660004,114.1660004,114.5999985,109.3105011,110.0234985,161744000,108.4434967,102.1380005,102.1500015,115.3840027,118.75,119.9725037,0.05276945,105.4955002,0.4201
AMZN,28/04/2020,115.7040024,115.7040024,118.6750031,115.3000031,118.6050034,105388000,118.8000031,120.5110016,119.9725037,118.635498,114.302002,118.3805008,-0.026060611,118.632402,0.5574
MSFT,14/10/2020,214.5220642,220.8600006,224.2200012,219.1300049,223,23421700,222.8600006,221.3999939,215.8099976,219.6600037,214.2200012,216.2299957,-0.008974244,218.3019989,
NVDA,16/01/2020,61.99026108,62.23249817,62.29249954,61.69499969,61.93000031,28419200,61.39250183,61.81999969,62.99499893,62.31999969,62.52750015,61.99250031,0.013682393,61.90400009,
NVDA,31/01/2020,58.87742615,59.10749817,61.11249924,58.6875,60.99250031,37042000,61.45249939,61.38499832,61.99250031,60.08250046,62.68999863,66.97250366,-0.038159574,60.79749908,
AAPL,08/09/2020,110.6711273,112.8199997,118.9899979,112.6800003,113.9499969,231366600,120.9599991,120.8799973,131.3999939,117.3199997,112,110.3399963,-0.067294969,124.0479965,0.031528571
AMZN,31/12/2019,92.39199829,92.39199829,92.66300201,91.6115036,92.09999847,50130000,,,,94.90049744,95.14399719,94.15799713,,92.39199829,
MSFT,22/10/2020,208.7233887,214.8899994,216.0599976,211.6999969,213.9299927,22351500,214.8000031,214.6499939,214.2200012,216.2299957,213.25,202.3300018,4.19E-04,215.6440002,
NVDA,06/03/2020,66.29074097,66.51000214,67.09750366,64.5,66.51999664,51541200,68.32250214,71.12750244,66.47250366,61.36000061,61.61750031,54.31750107,-0.026528595,68.30800171,
NVDA,23/06/2020,94.23144531,94.5,96.42500305,94.07499695,95.51000214,37510800,95.26750183,92.61250305,92.18000031,92.35500336,91.55000305,96.12249756,-0.008056282,93.38400116,
TSLA,30/03/2020,33.47533417,33.47533417,34.44333267,32.74866867,34.01733398,179971500,34.29066849,35.21066666,35.95000076,34.93333435,30.29800034,36.58933258,-0.023777149,34.5186676,-0.12685
MSFT,15/01/2020,157.2464294,163.1799927,163.9400024,162.5700073,162.6199951,21417900,162.1300049,163.2799988,161.3399963,166.1699982,166.5,162.2799988,0.006476209,162.4039978,
MSFT,27/07/2020,197.5227203,203.8500061,203.9700012,200.8600006,201.4700012,30160900,201.3000031,202.5399933,211.75,202.0200043,203.8999939,212.9400024,0.012667675,205.6380005,
MSFT,09/10/2020,209.6170044,215.8099976,215.8600006,211.2299957,211.2299957,26458000,210.5800018,209.8300018,205.9100037,221.3999939,220.8600006,214.6499939,0.024836146,210.502002,0.7906
NVDA,04/03/2020,70.893013,71.12750244,71.22250366,66.80000305,67.55000305,59740800,66.47250366,69.10749817,67.51750183,68.32250214,61.36000061,60.20999908,0.070028937,67.47500153,0.24695
AMZN,20/08/2020,164.8684998,164.8684998,165.6309967,161.8999939,162.6000061,66650000,163.0240021,165.6244965,159.1204987,164.2359924,167.3244934,172.5480042,0.011314271,162.0076996,-0.5423
AMZN,18/12/2020,160.0825043,160.0825043,162.470993,158.5800018,162.1994934,119914000,161.8040009,162.0480042,158.2559967,160.3090057,159.263504,164.2924957,-0.010639394,160.0078003,0.20625
MSFT,02/10/2020,200.2730408,206.1900024,210.9900055,205.5399933,208,33154800,212.4600067,210.3300018,207.2599945,210.3800049,209.8300018,222.8600006,-0.029511457,209.1360016,-0.1072
